,,Annual_Total,Annual_Total,Annual_Mean,Annual_Mean
,,sum,mean,sum,mean
Region,Year,,,,
P1,2057,1184,98.66666666666667,74.0,6.166666666666667
P1,2058,1278,106.5,79.875,6.65625
P1,2059,877,73.08333333333333,54.8125,4.567708333333333
P1,2060,1333,111.08333333333333,83.3125,6.942708333333333
P1,2061,1230,102.5,76.875,6.40625
P1,2062,748,62.333333333333336,46.75,3.8958333333333335
P1,2063,891,74.25,55.6875,4.640625
P1,2064,944,78.66666666666667,59.0,4.916666666666667
P1,2065,863,71.91666666666667,53.9375,4.494791666666667
P1,2066,888,74.0,55.5,4.625
P1,2067,921,76.75,57.5625,4.796875
P1,2068,914,76.16666666666667,57.125,4.760416666666667
P1,2069,801,66.75,50.0625,4.171875
P1,2070,1068,89.0,66.75,5.5625
P1,2071,1412,117.66666666666667,88.25,7.354166666666667
P1,2072,935,77.91666666666667,58.4375,4.869791666666667
P1,2073,978,81.5,61.125,5.09375
P1,2074,943,78.58333333333333,58.9375,4.911458333333333
P1,2075,932,77.66666666666667,58.25,4.854166666666667
P1,2076,826,68.83333333333333,51.625,4.302083333333333
P1,2077,1146,95.5,71.625,5.96875
P1,2078,864,72.0,54.0,4.5
P1,2079,951,79.25,59.4375,4.953125
P1,2080,946,78.83333333333333,59.125,4.927083333333333
P1,2081,1157,96.41666666666667,72.3125,6.026041666666667
P1,2082,830,69.16666666666667,51.875,4.322916666666667
P1,2083,1415,117.91666666666667,88.4375,7.369791666666667
P1,2084,510,42.5,31.875,2.65625
P1,2085,904,75.33333333333333,56.5,4.708333333333333
P1,2086,795,66.25,49.6875,4.140625
P1,2087,719,59.916666666666664,44.9375,3.7447916666666665
P1,2088,841,70.08333333333333,52.5625,4.380208333333333
P1,2089,1263,105.25,78.9375,6.578125
P1,2090,866,72.16666666666667,54.125,4.510416666666667
P1,2091,874,72.83333333333333,54.625,4.552083333333333
P1,2092,935,77.91666666666667,58.4375,4.869791666666667
P1,2093,693,57.75,43.3125,3.609375
P1,2094,874,72.83333333333333,54.625,4.552083333333333
P1,2095,881,73.41666666666667,55.0625,4.588541666666667
P1,2096,869,72.41666666666667,54.3125,4.526041666666667
P1,2097,1074,89.5,67.125,5.59375
P1,2098,562,46.833333333333336,35.125,2.9270833333333335
P1,2099,1108,92.33333333333333,69.25,5.770833333333333
P1,2100,979,81.58333333333333,61.1875,5.098958333333333
P3,2006,5432,452.6666666666667,339.5,28.291666666666668
P3,2007,3417,284.75,213.5625,17.796875
P3,2008,3442,286.8333333333333,215.125,17.927083333333332
P3,2009,3088,257.3333333333333,193.0,16.083333333333332
P3,2010,2459,204.91666666666666,153.6875,12.807291666666666
P3,2011,3160,263.3333333333333,197.5,16.458333333333332
P3,2012,3365,280.4166666666667,210.3125,17.526041666666668
P3,2013,3741,311.75,233.8125,19.484375
P3,2014,3946,328.8333333333333,246.625,20.552083333333332
P3,2015,3339,278.25,208.6875,17.390625
P3,2016,5625,468.75,351.5625,29.296875
P3,2017,3846,320.5,240.375,20.03125
P3,2018,3724,310.3333333333333,232.75,19.395833333333332
P3,2019,5877,489.75,367.3125,30.609375
P3,2020,4360,363.3333333333333,272.5,22.708333333333332
P3,2021,2884,240.33333333333334,180.25,15.020833333333334
P3,2022,5515,459.5833333333333,344.6875,28.723958333333332
P3,2023,2154,179.5,134.625,11.21875
P3,2024,2911,242.58333333333334,181.9375,15.161458333333334
P3,2025,3159,263.25,197.4375,16.453125
P3,2026,3517,293.0833333333333,219.8125,18.317708333333332
P3,2027,5375,447.9166666666667,335.9375,27.994791666666668
P3,2028,2489,207.41666666666666,155.5625,12.963541666666666
P3,2029,2621,218.41666666666666,163.8125,13.651041666666666
P3,2030,3954,329.5,247.125,20.59375
P3,2031,4181,348.4166666666667,261.3125,21.776041666666668
P3,2032,3837,319.75,239.8125,19.984375
P3,2033,4104,342.0,256.5,21.375
P3,2034,2459,204.91666666666666,153.6875,12.807291666666666
P3,2035,2299,191.58333333333334,143.6875,11.973958333333334
P3,2036,3655,304.5833333333333,228.4375,19.036458333333332
P3,2037,4690,390.8333333333333,293.125,24.427083333333332
P3,2038,2573,214.41666666666666,160.8125,13.401041666666666
P3,2039,4027,335.5833333333333,251.6875,20.973958333333332
P3,2040,3443,286.9166666666667,215.1875,17.932291666666668
P3,2041,3330,277.5,208.125,17.34375
P3,2042,3301,275.0833333333333,206.3125,17.192708333333332
P3,2043,4149,345.75,259.3125,21.609375
P3,2044,3849,320.75,240.5625,20.046875
P3,2045,3549,295.75,221.8125,18.484375
P3,2046,4307,358.9166666666667,269.1875,22.432291666666668
P3,2047,3281,273.4166666666667,205.0625,17.088541666666668
P3,2048,3349,279.0833333333333,209.3125,17.442708333333332
P3,2049,4461,371.75,278.8125,23.234375
P3,2050,3222,268.5,201.375,16.78125
P3,2051,3526,293.8333333333333,220.375,18.364583333333332
P3,2052,2081,173.41666666666666,130.0625,10.838541666666666
P3,2053,3258,271.5,203.625,16.96875
P3,2054,4118,343.1666666666667,257.375,21.447916666666668
P3,2055,2890,240.83333333333334,180.625,15.052083333333334
P3,2056,3968,330.6666666666667,248.0,20.666666666666668
P3,2057,3509,292.4166666666667,219.3125,18.276041666666668
